 , C00, C02, C04, C07, C14, C16, C17, C21, C26, C29
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
2496.495292678199, 0.2765312, 0.1541853, 1.057472, 0.001087651, 5.628761e-20, 0.4040033, 0.5183566, 6.16181e-21, 6.026566, 0.03816462
2496.595255272161, 0.2555385, 0.1417265, 1.062614, 0.001012547, 5.253375e-20, 0.3837857, 0.4853992, 5.849371e-21, 5.713231, 0.03633043
2496.695217866122, 0.2361394, 0.1302745, 4.108436, 0.0009426285, 4.903024e-20, 0.3645799, 0.4545372, 5.552775e-21, 5.416187, 0.0345844
2496.795180460084, 0.2182131, 0.1197478, 3.864135, 0.0008775383, 4.576038e-20, 0.3463353, 0.4256375, 5.271217e-21, 5.134588, 0.03292228
2496.895143054046, 0.2016475, 0.1100718, 3.63436, 0.0008169427, 4.27086e-20, 0.3290036, 0.3985752, 5.003937e-21, 4.867629, 0.03134004
2496.995105648007, 0.1863396, 0.1011776, 3.418249, 0.0007605313, 3.986033e-20, 0.3125393, 0.3732336, 4.750209e-21, 4.61455, 0.02983384
2497.095068241968, 0.1721938, 0.09300204, 3.214988, 0.0007080153, 3.720202e-20, 0.2968989, 0.3495032, 4.509346e-21, 4.374629, 0.02840003
2497.19503083593, 0.1591218, 0.08548713, 3.023814, 0.0006591256, 3.4721e-20, 0.2820412, 0.3272816, 4.280696e-21, 4.147183, 0.02703513
2497.294993429891, 0.1470421, 0.07857946, 2.844008, 0.0006136118, 3.240543e-20, 0.267927, 0.3064728, 4.063641e-21, 3.931562, 0.02573582
2497.394956023853, 0.1358795, 0.07222994, 2.674893, 0.0005712408, 3.024429e-20, 0.2545191, 0.2869871, 3.857591e-21, 3.727151, 0.02449896
2497.494918617815, 0.1255643, 0.06639349, 2.515835, 0.0005317956, 2.822728e-20, 0.2417822, 0.2687403, 3.66199e-21, 3.533368, 0.02332154
2497.594881211776, 0.1160322, 0.06102866, 2.366235, 0.0004950741, 2.634478e-20, 0.5125024, 0.2516537, 3.476306e-21, 3.34966, 0.02220071
2497.694843805737, 0.1072237, 0.05609731, 2.225531, 0.0004608884, 2.458784e-20, 0.4868552, 0.2356534, 3.300038e-21, 3.175504, 0.02113375
