 , C00, C01, C06, C13, C18, C24
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted
21.99175412454575, 1.16923, 0.08777928, 1.580793, 5.915555, 7.443237, 17.21748
22.09171664329369, 1.665452, 0.08201472, 1.459096, 5.633623, 8.296005, 16.33574
22.19167916204163, 2.154027, 0.07662871, 1.346768, 5.391902, 8.505801, 15.49917
22.29164168078956, 2.050398, 0.07159642, 1.243087, 5.485462, 9.145293, 14.70543
22.3916041995375, 1.951755, 0.06689461, 1.147388, 7.853797, 8.736958, 13.95234
22.49156671828543, 1.857857, 0.06250156, 1.059057, 7.47949, 8.346853, 13.23782
22.59152923703337, 1.768477, 0.05839701, 0.9775255, 7.123022, 9.455251, 12.5599
22.6914917557813, 1.683396, 0.05456201, 0.9022709, 6.783542, 9.033074, 11.91668
22.79145427452924, 1.602409, 0.05097887, 0.8328098, 6.460242, 11.58492, 15.28951
22.89141679327717, 1.525318, 0.04763103, 0.7686961, 6.240875, 11.93714, 17.72853
22.99137931202511, 1.451936, 0.1935637, 1.545221, 5.943438, 11.40415, 23.98709
23.09134183077304, 1.382084, 0.1808521, 1.426262, 7.578238, 11.53962, 22.75867
23.19130434952098, 1.315593, 0.1689754, 1.316461, 7.217064, 11.02437, 21.59317
23.29126686826891, 1.252301, 0.1578786, 1.514918, 6.873103, 10.80418, 20.48735
23.39122938701685, 1.192053, 0.1475105, 1.398292, 6.545534, 11.31127, 19.43817
23.49119190576478, 1.134704, 0.1378233, 1.290645, 6.233578, 10.80623, 18.44271
23.59115442451272, 1.080114, 0.1287723, 2.141683, 5.936489, 10.32373, 17.49823
23.69111694326065, 1.028151, 0.1203157, 1.976806, 5.653559, 10.36178, 16.60212
23.79107946200859, 0.9786868, 0.1124144, 1.824622, 5.384113, 10.53224, 15.7519
23.89104198075653, 0.9316028, 0.105032, 1.684154, 6.848711, 10.06198, 15.74392
23.99100449950446, 1.943528, 0.09813446, 1.554499, 6.522305, 10.73921, 14.93765
24.0909670182524, 1.850026, 0.09168986, 1.614755, 6.55662, 10.25971, 14.17267
24.19092953700033, 1.761022, 0.08566848, 2.901917, 9.267036, 9.801615, 13.44687
24.29089205574827, 1.6763, 0.08004253, 2.678514, 8.825375, 9.363975, 13.15169
24.3908545744962, 1.595654, 0.07478605, 2.472309, 9.197163, 8.945873, 17.9151
24.49081709324414, 1.518888, 0.06987476, 2.281978, 8.758831, 11.2972, 21.64328
24.59077961199207, 1.445816, 0.06528601, 2.106301, 8.34139, 10.79278, 20.53489
24.69074213074001, 1.376258, 0.0609986, 2.383839, 7.943843, 10.31089, 19.48327
24.79070464948794, 1.310047, 0.7565922, 2.20032, 7.565244, 9.850505, 18.4855
24.89066716823588, 1.247022, 0.706906, 2.280671, 9.768721, 9.410681, 17.53883
24.99062968698381, 1.187028, 0.6604826, 2.105094, 10.43789, 8.990495, 16.64064
25.09059220573175, 1.129921, 0.617108, 3.311245, 9.94043, 10.69963, 15.78845
25.19055472447968, 1.075561, 0.5765818, 3.056329, 10.25865, 10.22189, 14.9799
25.29051724322762, 1.023817, 0.538717, 2.821038, 11.39396, 9.765485, 14.21276
25.39047976197555, 0.9745614, 0.5033388, 2.603861, 10.85093, 9.329457, 13.4849
25.49044228072349, 0.9276758, 0.470284, 3.772968, 10.33378, 8.912898, 12.79432
25.59040479947143, 0.8830459, 0.4393999, 3.482506, 9.841279, 9.718418, 13.1172
25.69036731821936, 1.53929, 0.410544, 3.299375, 10.11198, 11.3685, 12.44545
25.7903298369673, 1.465236, 0.3835831, 3.045373, 9.630046, 10.8609, 11.8081
25.89029235571523, 1.630932, 0.7559011, 2.810926, 9.171083, 10.37596, 11.20339
25.99025487446317, 1.552469, 0.7062602, 3.461549, 9.267021, 10.85394, 10.62965
26.0902173932111, 1.47778, 0.6598793, 3.22067, 8.843866, 11.32135, 10.08529
26.19017991195904, 1.406685, 0.6165442, 2.972727, 10.02168, 10.81586, 14.8868
26.29014243070697, 1.33901, 0.9556907, 3.178357, 9.544051, 10.33293, 14.49034
26.3901049494549, 1.274591, 0.8929294, 3.696049, 9.089187, 11.16968, 13.98968
26.49006746820284, 1.213271, 0.8342897, 4.756288, 8.656001, 10.67095, 13.27324
