 , C00, C01, C02, C05, C06, C07, C08, C11, C15, C16, C20
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
2030.30394933075, 5.044615e-06, 0.1780781, 0.000441205, 0.7124141, 0.000769483, 0.0357291, 0.107955, 2.642588e-07, 6.492879, 0.05868987, 0.8199264
2030.403873344544, 4.775321e-06, 0.1585097, 0.0004141094, 0.6796759, 0.0007102694, 0.03377635, 0.1010949, 2.473973e-07, 6.776849, 0.0542426, 0.7319364
2030.503797358338, 4.520402e-06, 0.1410917, 0.0003886777, 0.6484421, 0.0006556125, 0.03193034, 0.09467077, 2.316116e-07, 6.258335, 0.05013232, 0.653389
2030.603721372133, 4.279092e-06, 0.1255877, 0.0003648079, 0.6186437, 0.0006051615, 0.03018522, 0.08865485, 2.168332e-07, 5.779493, 0.04633351, 0.5832708
2030.703645385927, 4.050663e-06, 0.1117874, 0.000342404, 0.5902146, 0.0005585929, 0.02853547, 0.08302122, 2.029978e-07, 5.598094, 0.04282255, 0.5206774
2030.803569399721, 3.834428e-06, 0.09950349, 0.000321376, 0.5630919, 0.0005156078, 0.02697589, 0.07774557, 1.900451e-07, 5.169769, 0.03957763, 0.4648011
2030.903493413515, 3.629737e-06, 0.08856944, 0.0003016393, 0.5372157, 0.0004759306, 0.02550155, 0.07280517, 1.779189e-07, 4.774217, 0.03657861, 0.4149212
2031.003417427309, 3.435973e-06, 0.07883689, 0.0002831148, 0.5125285, 0.0004393066, 0.02410779, 0.06817872, 1.665665e-07, 5.189731, 0.03380683, 0.3703941
2031.103341441104, 3.252552e-06, 0.07017381, 0.0002657279, 0.4889758, 0.0004055009, 0.0227902, 0.06384625, 1.559384e-07, 4.792651, 0.03124509, 0.3306455
2031.203265454898, 3.078922e-06, 0.06246268, 0.0002494088, 0.4665054, 0.0003742966, 0.02154462, 0.0597891, 1.459885e-07, 4.425953, 0.1840153, 0.2951624
2031.303189468692, 2.914562e-06, 0.0555989, 0.0002340919, 0.4450677, 0.0003454936, 0.02036712, 0.05598976, 1.366734e-07, 4.480092, 0.1700714, 0.2634872
2031.403113482486, 2.758975e-06, 0.04948935, 0.0002197156, 0.4246151, 0.0003189071, 0.01925397, 0.05243185, 1.279527e-07, 4.137308, 0.1571841, 0.2352112
2031.50303749628, 2.611694e-06, 0.04405116, 0.0002062223, 0.4051023, 0.0002943664, 0.01820167, 0.04910003, 1.197885e-07, 3.820752, 0.1452734, 0.2099696
2031.602961510074, 2.472275e-06, 0.03921055, 0.0001935576, 0.3864863, 0.0002717142, 0.01720687, 0.04597994, 1.121451e-07, 3.528416, 0.1342652, 0.1874368
2031.702885523869, 2.340299e-06, 0.03490186, 0.0001816706, 0.3687257, 0.0002508051, 0.01626645, 0.04305811, 1.049895e-07, 3.258448, 0.1240911, 0.1673221
2031.802809537663, 2.215368e-06, 0.03106663, 0.0001705137, 0.62126, 0.0002315051, 0.01537742, 0.04032195, 9.829046e-08, 3.009136, 0.114688, 0.149366
2031.902733551457, 2.097106e-06, 0.02765284, 0.000160042, 0.5927107, 0.0002136902, 0.01453698, 0.03775966, 9.201885e-08, 2.778899, 0.1059975, 0.1333369
2032.002657565251, 1.985157e-06, 0.02461417, 0.0001502134, 0.7683114, 0.0001972462, 0.01374248, 0.0353602, 8.614742e-08, 2.566278, 0.09796541, 0.6278902
2032.102581579045, 1.879185e-06, 0.02190942, 0.0001409883, 0.7330045, 0.0001820677, 0.01299139, 0.03311321, 8.065062e-08, 2.369926, 0.090542, 1.860191
2032.20250559284, 1.778869e-06, 0.01950188, 0.02710084, 0.6993201, 0.0001680571, 0.01228136, 0.03100901, 7.550456e-08, 2.950153, 0.08368111, 1.684735
2032.302429606633, 1.683909e-06, 0.01735889, 0.0254365, 0.6671836, 0.0001551247, 0.01161013, 0.02903852, 7.068685e-08, 2.812471, 0.07734011, 1.503939
2032.402353620428, 1.594017e-06, 0.01545139, 0.02387438, 0.6365238, 0.0001431875, 0.01097559, 0.02719325, 6.617655e-08, 2.597281, 0.0714796, 1.403744
2032.502277634222, 1.508925e-06, 0.0137535, 0.02240818, 0.607273, 0.0001321689, 0.01037573, 0.02546523, 6.195403e-08, 2.598718, 0.06606318, 1.253102
2032.602201648016, 1.428374e-06, 0.01224218, 0.02103203, 0.5793664, 0.0001219982, 0.009808657, 0.02384703, 5.800094e-08, 2.399883, 0.06105719, 1.118626
2032.70212566181, 1.352124e-06, 0.01089693, 0.01974039, 0.5527423, 0.0001126101, 0.009272574, 0.02233165, 5.430009e-08, 2.426653, 0.05643053, 0.998581
2032.802049675604, 1.279944e-06, 1.686916, 0.01852808, 0.5273416, 0.3418943, 0.00876579, 0.02091257, 5.083537e-08, 2.240984, 0.05215446, 0.8914188
2032.901973689399, 1.211618e-06, 3.491728, 0.01739022, 0.5031082, 0.3155847, 0.008286703, 0.01958367, 4.759173e-08, 2.06952, 0.04820242, 1.989117
2033.001897703193, 1.146939e-06, 3.108035, 0.2280224, 0.4799884, 0.2912997, 0.007833801, 0.01833921, 4.455505e-08, 1.911176, 0.08039699, 1.775656
2033.101821716987, 1.085712e-06, 2.766505, 0.2140189, 0.457931, 0.2688835, 0.007405652, 0.01717383, 4.171213e-08, 1.764947, 0.07430484, 1.585102
2033.201745730781, 1.027754e-06, 2.462505, 0.2008753, 1.250384, 0.2481923, 0.007000903, 0.01608251, 3.905061e-08, 1.629906, 0.06867433, 1.414998
2033.301669744575, 9.728899e-07, 2.19191, 0.188539, 1.192924, 0.2290933, 0.5006723, 0.01506053, 3.655892e-08, 3.085044, 0.06347048, 1.263148
2033.401593758369, 9.209546e-07, 1.951049, 0.1769603, 1.138105, 0.211464, 0.4733085, 0.0141035, 3.422621e-08, 3.076283, 0.05866095, 1.127594
2033.501517772164, 8.717917e-07, 1.736656, 0.1660926, 1.211679, 0.2885581, 0.4474403, 0.01320728, 3.204234e-08, 2.840909, 0.876895, 1.006587
2033.601441785958, 8.252533e-07, 1.545822, 0.1558924, 1.155998, 0.2663529, 0.4229859, 0.01236802, 2.999782e-08, 4.29245, 0.8104475, 0.8985652
2033.701365799752, 7.811992e-07, 1.375957, 0.1463186, 1.102875, 0.3976316, 0.399868, 0.01158208, 2.808376e-08, 3.964024, 2.489602, 0.8021361
2033.801289813546, 7.394968e-07, 1.224759, 0.1373328, 1.302155, 0.3670329, 0.3780136, 0.01084609, 2.629182e-08, 3.660726, 3.419429, 0.7160552
2033.90121382734, 7.000206e-07, 1.335602, 0.1288988, 1.242316, 0.3387889, 0.3573536, 0.01015687, 2.461422e-08, 3.489653, 3.160319, 1.26799
2034.001137841135, 6.626517e-07, 1.188838, 0.1209827, 1.185227, 0.3127182, 0.3378227, 0.009511444, 2.304367e-08, 3.222651, 2.920843, 1.131916
2034.101061854929, 6.272777e-07, 1.30124, 0.1135528, 1.130761, 0.2886538, 0.3193594, 0.008907032, 2.157332e-08, 2.976078, 2.699514, 1.010445
2034.200985868723, 5.93792e-07, 1.158252, 0.1065792, 1.078798, 0.2664412, 0.3019051, 0.008341028, 2.01968e-08, 2.74837, 2.494956, 0.9020099
2034.300909882517, 5.620939e-07, 1.030976, 0.1000339, 1.029223, 0.2459379, 0.2854047, 0.007810992, 1.89081e-08, 2.538085, 2.305898, 1.231181
2034.400833896311, 5.320879e-07, 0.9176864, 0.09389053, 0.9819263, 0.2270124, 0.2698062, 0.007314637, 1.770164e-08, 2.34389, 2.131167, 1.099057
2034.500757910105, 5.036837e-07, 0.8168454, 0.08812444, 1.151095, 0.2095433, 0.2550602, 0.4975477, 1.657215e-08, 2.164553, 1.969676, 0.9811123
2034.6006819239, 4.767958e-07, 4.594027, 0.08271246, 1.098198, 0.1934184, 0.2411201, 0.4659307, 1.551473e-08, 1.998937, 1.820422, 1.071341
2034.700605937694, 4.513433e-07, 7.534507, 0.07763285, 1.047731, 0.1785344, 0.2279419, 0.4363228, 1.452479e-08, 1.845994, 1.682478, 0.9563706
2034.800529951488, 4.272494e-07, 6.706569, 0.0728652, 0.999584, 0.1647957, 0.215484, 0.4085964, 1.359801e-08, 2.521338, 1.554987, 0.8537381
2034.900453965282, 4.044418e-07, 5.96961, 0.06839033, 0.9536492, 0.1521143, 0.2037069, 0.3826318, 1.273036e-08, 2.328424, 1.437157, 0.7621197
2035.000377979076, 3.828517e-07, 5.313633, 0.06419028, 0.9098253, 0.1404088, 0.1925735, 0.3583172, 1.191808e-08, 2.15027, 1.485563, 0.6803331
2035.100301992871, 3.624141e-07, 4.729739, 0.06024817, 0.8680152, 0.2786466, 0.1820486, 0.3355477, 1.115762e-08, 1.985747, 1.372993, 0.6073235
2035.200226006665, 3.430675e-07, 4.210006, 0.05654816, 0.8281265, 0.257204, 0.1720989, 0.3142251, 1.044569e-08, 1.833812, 1.484517, 0.5421489
2035.300150020459, 3.247537e-07, 3.747385, 0.05307537, 0.7900708, 0.2374116, 0.162693, 0.2942575, 9.779184e-09, 2.70817, 1.372027, 0.4839684
2035.400074034253, 3.074175e-07, 3.335599, 0.04981586, 0.753764, 0.2191422, 0.1538011, 0.2755587, 9.155205e-09, 2.500961, 1.26806, 0.4320316
2035.499998048047, 2.910068e-07, 2.969063, 0.04675653, 0.7191256, 0.2022787, 0.1453953, 0.2580481, 8.57104e-09, 2.309606, 1.171972, 0.3856683
2035.599922061841, 2.754721e-07, 2.642804, 0.04388507, 0.6860789, 0.1867128, 0.1374488, 0.2416502, 8.024149e-09, 2.183516, 1.083165, 0.3442805
2035.699846075635, 2.607667e-07, 2.448995, 0.04118996, 0.6545509, 0.1723448, 0.1299367, 0.2262944, 7.512154e-09, 2.016449, 1.001087, 0.3073342
2035.79977008943, 2.468463e-07, 2.179884, 0.03866037, 0.6244717, 0.1590825, 0.1228351, 0.2119144, 7.032827e-09, 1.862166, 0.9252289, 0.2743528
2035.899694103224, 2.33669e-07, 1.940345, 0.03628613, 0.5957748, 0.1468407, 0.1161217, 0.1984481, 6.584084e-09, 1.719687, 0.8551189, 0.2449107
2035.999618117018, 2.211952e-07, 2.458072, 0.03405769, 0.5683966, 0.135541, 0.1097752, 0.1858376, 6.163975e-09, 1.588109, 0.7903216, 0.2186283
2036.099542130812, 2.093872e-07, 2.187964, 0.03196611, 0.5422765, 0.1251108, 0.1037755, 0.1740284, 5.770671e-09, 1.466599, 0.9443862, 0.1951663
2036.199466144606, 1.982096e-07, 1.947537, 0.03000298, 0.5173568, 0.1154832, 0.09810375, 0.1629696, 5.402463e-09, 1.443035, 0.8728246, 0.1742221
2036.2993901584, 1.876287e-07, 1.73353, 0.02816041, 0.4935822, 0.1065965, 0.09274199, 0.1526136, 5.057749e-09, 1.332625, 0.8066856, 0.1555256
2036.399314172195, 1.776126e-07, 1.543039, 0.026431, 0.4709001, 0.09839363, 0.08767326, 0.1429157, 4.73503e-09, 1.230662, 0.7455584, 0.1388354
2036.499238185989, 1.681312e-07, 1.37348, 0.0248078, 0.4492604, 0.090822, 0.08288156, 0.133834, 4.432903e-09, 1.136501, 0.6890631, 0.6153081
2036.599162199783, 1.591559e-07, 1.222554, 0.02328428, 0.7306856, 0.08383303, 0.07835175, 0.1253294, 4.150054e-09, 1.049545, 0.6368487, 0.5492766
2036.699086213577, 1.506598e-07, 4.010353, 0.02185432, 0.6971077, 0.07738188, 0.07406951, 0.1173653, 3.885252e-09, 0.9692413, 0.588591, 0.4903312
