 , C00, C01, C05, C06, C11, C12, C19, C21, C26, C33, C44, C46, C57, C59, C60, C71, C73, C75
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
1080.797574474912, 7.417147, 0.0003591529, 2.166146, 1.887667, 1.064666, 0.03074912, 0.2538814, 5.256916, 1.019034, 1.403701, 0.821435, 1.622627, 0.1876145, 0.2556503, 0.8858228, 9.953003, 0.8390157, 0.03541795
1080.897537254645, 7.004992, 0.0003374705, 2.053325, 1.783767, 0.9628625, 0.02844615, 0.2470158, 4.997969, 0.9659758, 1.336366, 0.7530797, 1.526163, 0.1766624, 0.2427969, 0.8296039, 9.43827, 0.7830966, 0.03327468
1080.997500034378, 7.325904, 0.0003170971, 2.683081, 1.685586, 0.8707937, 0.02631566, 0.2333861, 5.209265, 0.9156806, 1.272261, 0.6904125, 1.435434, 0.1663496, 0.5875288, 0.776953, 10.54993, 0.7309043, 0.03126111
1081.097462814111, 8.361465, 0.0002979537, 2.543337, 1.592809, 2.995455, 0.02434474, 0.2205083, 5.908794, 0.8680041, 1.211231, 0.6329601, 1.350099, 0.1566388, 0.5579894, 0.8054867, 10.00433, 0.6821907, 0.02936939
1081.197425593845, 7.896836, 0.000279966, 2.410871, 1.505139, 2.70903, 0.02252143, 1.251147, 5.908979, 0.8228099, 1.553775, 0.5802886, 1.269837, 0.1474949, 0.5299352, 0.7823291, 9.522385, 0.6367237, 0.02759214
1081.297388373578, 7.458026, 0.0002630642, 2.285305, 1.422294, 2.449993, 0.02083467, 1.182111, 5.617912, 1.419292, 1.498601, 0.5441478, 1.194346, 0.1388848, 0.5032915, 0.7326785, 11.0743, 0.594287, 0.02592245
1081.397351153311, 8.661157, 0.0002471828, 3.424476, 1.344009, 3.733922, 0.01927425, 1.116885, 5.341183, 1.345394, 2.5331, 2.551775, 1.123343, 0.1307773, 0.4779874, 0.7827087, 10.50158, 0.5546787, 0.02435379
1081.497313933044, 8.727955, 0.0002322602, 3.246118, 1.270033, 4.288635, 0.0178307, 1.055257, 5.078085, 1.8093, 2.411589, 2.339431, 1.287319, 0.1231431, 0.4539556, 1.560046, 9.958476, 0.5177102, 0.02288005
1081.597276712777, 8.686988, 0.0002182385, 3.077049, 1.222518, 3.878556, 0.01649526, 0.9970307, 5.478878, 1.715095, 2.295906, 2.144756, 1.210789, 0.1159545, 0.4311319, 1.510381, 9.44346, 0.4832056, 0.0214955
1081.69723949251, 8.736606, 0.0002050632, 2.916785, 1.2483, 3.507689, 0.01525984, 0.9420167, 5.208998, 1.625796, 2.185772, 2.939985, 2.168175, 0.1091856, 0.4094558, 1.414524, 8.955078, 0.4510007, 0.02019473
1081.797202272244, 9.303665, 0.0001926834, 2.764869, 1.179592, 3.671597, 0.01411694, 0.8900383, 5.678684, 1.541146, 2.080922, 2.695335, 2.242584, 0.1028118, 0.3888695, 2.52369, 8.491954, 0.4209422, 0.01897267
1081.897165051977, 8.786681, 0.0001810509, 2.620865, 1.312094, 3.320519, 0.01305965, 0.840928, 5.820308, 1.460904, 1.981101, 2.471044, 2.109265, 0.0968101, 0.3693182, 2.363524, 11.2871, 0.392887, 0.01782457
1081.99712783171, 8.298425, 0.0001701208, 2.803972, 1.239875, 3.003012, 0.01208154, 0.7945274, 5.533609, 1.384839, 1.886068, 2.265417, 1.983871, 0.09115873, 0.3507499, 2.213523, 10.70337, 0.3667017, 0.01674594
1082.097090611443, 8.813169, 0.0001598504, 2.657932, 1.17163, 7.773178, 0.01117669, 0.7506871, 5.261033, 1.312735, 1.795594, 2.076901, 1.865931, 0.08583727, 0.3331152, 2.073041, 10.14983, 0.3422616, 0.01573258
1082.197053391176, 8.323441, 0.0001502001, 2.519498, 1.107142, 8.230198, 0.0103396, 0.7092658, 5.001883, 1.244385, 1.70946, 1.904073, 2.538442, 0.08082646, 0.3163671, 1.941475, 9.62492, 0.3194504, 0.01478055
1082.29701617091, 7.860925, 0.0001411324, 3.445608, 1.046204, 8.055099, 0.009565213, 0.6701301, 4.755498, 1.179594, 1.627458, 1.745626, 2.387534, 0.07610816, 0.300461, 1.818259, 9.127153, 0.2981595, 0.01388613
1082.396978950643, 7.424111, 0.0001326122, 3.266149, 0.9886191, 7.284872, 0.008848822, 0.6331537, 4.52125, 1.118176, 1.64146, 1.600365, 2.245597, 1.071835, 0.2853546, 1.702863, 8.65513, 0.2782876, 0.01304583
1082.496941730376, 7.011569, 0.0001246063, 3.096037, 0.9342042, 6.588294, 0.008186085, 0.5982177, 4.83644, 1.059957, 1.56272, 1.467191, 2.112098, 1.009266, 0.2710078, 1.594791, 8.207519, 0.2597402, 0.01225638
1082.596904510109, 7.689037, 0.0001170837, 2.934784, 0.8827844, 5.958322, 0.007572984, 0.5652094, 4.598205, 1.004768, 1.932981, 1.345099, 1.986536, 1.044001, 0.2573823, 1.493577, 7.783055, 0.2424289, 0.0115147
1082.696867289842, 9.049799, 0.0001100152, 2.781931, 0.8341947, 7.932893, 0.007005802, 0.5340224, 5.849195, 0.9524531, 1.840257, 1.233167, 1.868438, 0.9830568, 0.4070259, 1.431765, 8.010428, 0.2262714, 0.01081791
1082.796830069575, 8.546922, 0.0001033735, 2.637038, 0.7882795, 7.700144, 0.006481099, 0.5045562, 5.561073, 0.902862, 1.751981, 1.13055, 1.757361, 0.9256701, 0.3865618, 1.340898, 7.596158, 0.2111907, 0.01016328
1082.896792849308, 9.165095, 9.71328e-05, 3.070426, 0.7448915, 6.963858, 0.005995694, 0.4767159, 5.287144, 0.8558529, 1.667939, 1.036472, 1.652887, 0.8716335, 0.3671265, 1.255798, 7.203312, 0.1971152, 0.00954826
1082.996755629041, 8.655811, 9.126881e-05, 2.910508, 0.8509752, 6.297975, 0.005546643, 0.4504117, 5.026708, 0.8112915, 1.908285, 0.9502221, 1.554625, 0.8207512, 0.3486684, 1.176099, 6.830783, 0.1839777, 0.008970461
1083.096718408775, 8.174827, 8.575884e-05, 2.758919, 0.8041363, 5.695763, 0.005131224, 0.425559, 4.7791, 0.7690502, 1.816745, 0.8711497, 1.462204, 0.7728393, 0.3311383, 1.101457, 9.222351, 0.1717159, 0.008427626
