 , C00, C09, C10, C25, C26, C27, C32, C39
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
17.29353135917826, 1.246558, 1.864177, 1.439433, 0.7946179, 2.331203, 0.5603271, 0.08766522, 0.3646104
17.39349396819085, 1.152795, 1.27975, 1.738725, 0.7236341, 2.200698, 0.5229298, 0.08322085, 0.3412897
17.49345657720345, 1.066085, 0.8785433, 2.00847, 0.6589913, 2.077499, 0.4880286, 0.0790018, 0.3194605
17.59341918621604, 0.9858977, 1.15807, 1.666749, 0.600123, 2.50759, 0.4554566, 0.07499664, 0.2990276
17.69338179522863, 0.9117414, 1.886095, 1.843787, 0.5465136, 2.367211, 0.4250586, 0.07119454, 0.2799016
17.79334440424122, 0.843163, 1.871959, 3.748538, 0.4976931, 2.23469, 0.3966894, 0.06758519, 0.2619989
17.89330701325381, 0.7797428, 1.285092, 3.082065, 0.4532337, 2.109588, 0.3702137, 0.06415882, 0.2452413
17.9932696222664, 0.7210928, 3.5188, 2.534088, 0.412746, 1.991489, 0.3455049, 0.06090616, 0.2295554
18.09323223127899, 0.6668544, 3.040677, 2.083539, 0.3758751, 1.880002, 0.3224453, 0.05781839, 0.2148729
18.19319484029158, 1.289507, 2.79012, 1.831294, 0.3422979, 1.774756, 0.3009247, 0.05488717, 0.2011295
18.29315744930418, 1.192514, 1.915406, 1.505698, 0.3117201, 1.675402, 0.2808404, 0.05210456, 0.1882651
18.39312005831676, 1.102816, 1.314919, 2.771356, 0.2838739, 1.58161, 0.2620966, 0.04946301, 0.1762235
