,"C00","C01","C02","C04","C05","C06","C07","C08","C10","C11","C13","C14","C15","C17","C18"
"Time(s)/Cell Status"," accepted"," accepted"," accepted"," accepted"," accepted"," accepted"," accepted"," accepted"," accepted"," accepted"," accepted"," accepted"," accepted"," accepted"," accepted"
137.948837798972,20.47867,7.667926E-31,0.3744541,0.1145479,2.802597E-45,0.05243709,0.3232606,0.9701799,0.01614513,0.00000001617915,7.937417E-11,0.03128404,0.000003084772,10.00473,6.188063
138.048800724913,19.23391,6.100411E-31,0.3586452,0.09073853,2.802597E-45,0.0493653,0.2912821,0.8481147,0.01417671,0.00000001264804,6.63115E-11,0.02734509,0.00000244889,9.5538,5.919074
138.148763650854,17.95522,4.853335E-31,0.3435037,0.7896292,2.802597E-45,0.04647345,0.2624671,0.7414074,0.01244828,0.000000009887595,5.539856E-11,0.02390209,0.000001944087,9.123198,5.84514
138.248726576796,17.78842,3.861192E-31,0.3290014,1.999349,2.802597E-45,0.04375101,0.2365025,0.6481257,0.01093058,0.00000000772962,4.628158E-11,0.3876078,0.000001543341,8.712004,5.927375
138.348689502737,16.60583,3.071868E-31,0.3151114,1.583774,2.802597E-45,0.04118805,0.2131066,0.5665804,0.009597914,0.000000006042626,3.866498E-11,0.3388043,0.000001225203,8.319343,5.669718
138.448652428678,15.50187,2.443902E-31,0.3018078,2.091146,2.802597E-45,0.03877524,0.192025,0.937889,0.008427732,0.000000004723819,3.230185E-11,0.2961457,0.0000009726452,7.944379,5.423261
138.548615354619,14.47129,1.944308E-31,0.2890659,1.65649,2.802597E-45,0.03650376,0.173029,0.8198866,0.007400218,0.000000003692843,2.698591E-11,0.2588582,0.0000007721483,7.586316,5.187517
138.648578280561,13.50923,1.546843E-31,0.2768619,1.312179,2.802597E-45,0.03436535,1.667062,0.7167309,0.00649798,0.000000002886877,2.254482E-11,0.2262656,0.000000612981,7.244391,4.96202
138.748541206502,14.21741,1.23063E-31,0.2651731,1.039436,2.802597E-45,0.03235221,1.998537,0.6265539,0.005705743,0.000000002256815,1.88346E-11,0.1977766,0.0000004866238,6.917878,4.746326
138.848504132443,13.36308,9.790582E-32,0.2539779,0.8233837,2.802597E-45,0.030457,1.800832,0.5477227,0.005010096,0.000000001764263,1.573497E-11,0.1728747,0.0000003863132,6.606081,4.837905
138.948467058384,12.4747,7.789143E-32,0.2432553,0.652239,2.802597E-45,0.02867282,1.622685,0.4788098,0.004399262,0.000000001379212,1.314546E-11,0.1511082,0.0000003066803,6.308336,5.628675
139.048429984326,12.40936,6.196848E-32,0.2329853,0.5166676,2.802597E-45,0.02699315,1.462161,0.4185674,0.003862902,0.000000001078198,1.09821E-11,0.1320823,0.0000002434626,6.024012,5.384002
139.148392910267,11.58438,4.930058E-32,0.223149,0.4092755,2.802597E-45,0.02541188,1.317517,0.8757437,0.003391935,8.428805E-10,9.174765E-12,0.1154519,0.0000001932762,5.752502,5.149965
139.248355836208,10.81424,3.922231E-32,0.213728,0.3242054,2.802597E-45,0.02392324,1.187182,0.7655602,0.002978388,6.589213E-10,7.664867E-12,0.1009154,0.0000001534351,5.493229,4.926101
139.34831876215,10.09531,3.120429E-32,0.2047046,0.2568175,2.802597E-45,0.0225218,1.06974,1.046202,0.002615262,5.151113E-10,6.403454E-12,0.08820925,0.0000001218067,5.245643,4.711968
139.448281688091,9.424164,2.482536E-32,0.1960623,0.2034366,2.802597E-45,0.02120246,0.9639162,0.9145719,0.002296408,4.026879E-10,5.349632E-12,0.07710288,0.00000009669797,5.009215,4.507143
139.548244614032,10.26021,1.975044E-32,0.1877848,0.1611512,2.802597E-45,0.01996041,0.868561,0.945155,0.002016428,3.14801E-10,4.469239E-12,0.06739492,0.00000007676506,4.783443,4.311223
139.648207539974,9.578106,1.571295E-32,0.1798568,0.4718778,2.802597E-45,0.01879112,0.7826387,0.8262384,0.001770584,2.460955E-10,3.733733E-12,0.05890927,0.00000006094104,4.567848,4.123818
139.748170465915,8.941348,1.250084E-32,0.1722634,1.003616,2.802597E-45,0.01769033,0.9622536,1.382396,0.001554714,1.92385E-10,3.119269E-12,0.05149205,0.00000004837892,4.361969,3.94456
139.848133391856,8.422468,9.945354E-33,0.1649907,1.979601,2.802597E-45,0.01665402,1.042084,1.208467,0.001365162,1.503969E-10,2.605928E-12,0.04500872,0.0000000384063,4.16537,3.773093
139.948096317797,7.862538,7.912275E-33,0.158025,2.474706,2.802597E-45,0.01567842,1.731741,1.056421,0.001198721,1.175726E-10,2.177069E-12,0.03934171,0.00000003048939,3.977631,3.609081
140.048059243739,7.339832,6.294809E-33,0.1513534,1.960325,2.802597E-45,0.01475997,1.560429,0.9235055,0.001052572,9.191234E-11,1.818787E-12,0.03438822,0.00000002420444,3.798354,3.452198
