 , C0
Time(s)/Cell Status, accepted
42.5840062038424, 0.1543888
42.68396865971996, 0.1325288
42.78393111559753, 0.1137641
42.88389357147509, 0.09765619
42.98385602735265, 0.08382903
43.08381848323022, 0.07195966
43.18378093910778, 0.06177088
43.28374339498534, 0.05302473
43.38370585086291, 0.04551695
43.48366830674048, 0.03907219
43.58363076261804, 0.03353995
43.6835932184956, 0.02879103
43.78355567437317, 0.0247145
43.88351813025074, 0.02121517
43.98348058612829, 0.01821131
44.08344304200586, 0.01563277
44.18340549788343, 0.01341932
44.28336795376099, 0.01151928
44.38333040963855, 0.00988826
44.48329286551612, 0.008488179
44.58325532139369, 0.007286336
44.68321777727125, 0.006254663
44.78318023314881, 0.005369064
44.88314268902638, 0.004608857
44.98310514490394, 0.003956289
45.0830676007815, 0.003396117
45.18303005665907, 0.00291526
45.28299251253663, 0.002502488
45.3829549684142, 0.00214816
45.48291742429176, 0.001844002
45.58287988016932, 0.001582909
45.68284233604689, 0.001358785
45.78280479192446, 0.001166394
45.88276724780202, 0.001001244
45.98272970367958, 0.000859478
46.08269215955715, 0.0007377843
46.18265461543471, 0.0006333213
46.28261707131227, 0.0005436492
46.38257952718984, 0.0004666738
46.48254198306741, 0.0004005974
46.58250443894497, 0.0003438767
46.68246689482253, 0.0002951871
46.7824293507001, 0.0002533915
46.88239180657767, 0.0002175138
46.98235426245522, 0.000186716
47.08231671833279, 0.0001602788
47.18227917421036, 0.0001375849
47.28224163008792, 0.0001181043
47.38220408596548, 0.0001013819
47.48216654184305, 8.702718e-05
47.58212899772061, 7.470499e-05
47.68209145359818, 6.41275e-05
47.78205390947574, 5.504767e-05
47.88201636535331, 4.725346e-05
47.98197882123087, nan
48.08194127710843, 4.056284e-05
48.181903732986, 3.481954e-05
48.28186618886356, 2.988943e-05
48.38182864474113, 1.207823
48.48179110061869, 2.679365
48.58175355649625, 2.299993
48.68171601237382, 1.974337
48.78167846825139, 1.69479
48.88164092412894, 1.454824
48.98160338000651, 1.248835
49.08156583588408, 1.072013
49.18152829176164, 0.9202262
49.2814907476392, 0.7899312
49.38145320351677, 0.6780847
49.48141565939434, 0.5820746
49.5813781152719, 0.4996585
49.68134057114946, 0.4289118
49.78130302702703, 0.3681821
49.88126548290459, 0.3160511
49.98122793878215, 0.2713014
50.08119039465972, 0.2328878
50.18115285053729, 0.1999132
50.28111530641485, 0.1716074
50.38107776229241, 0.1473095
50.48104021816998, 0.1264519
50.58100267404754, 0.1085476
50.68096512992511, 0.0931783
50.78092758580267, 0.07998517
50.88089004168023, 0.06866006
50.9808524975578, 0.05893847
51.08081495343536, 0.05059336
51.18077740931292, 0.04342984
51.28073986519049, 0.0372806
51.38070232106806, 0.03200203
51.48066477694562, 0.02747086
51.58062723282318, 0.02358126
51.68058968870075, 0.02024238
51.78055214457832, 0.01737626
51.88051460045588, 0.01491595
51.98047705633344, 0.012804
52.08043951221101, 0.01099108
